Consumidor;NBO 1;NBO 2;NBO 3;NBO 4;NBO 5;Score NBO 1;Score NBO 2;Score NBO 3;Score NBO 4;Score NBO 5
1;14;28;40;54;71;0,770;0,540;0,710;0,530;0,820
2;15;31;49;51;80;0,690;0,600;0,970;0,510;0,540
3;10;33;36;51;78;0,970;0,620;0,890;0,960;0,870
4;9;24;44;61;68;0,780;0,900;0,950;0,940;0,970
5;3;29;41;60;80;0,770;0,800;0,700;0,590;0,770
6;7;21;38;53;70;0,620;0,880;0,920;0,800;0,750
7;19;33;42;55;79;0,570;0,960;0,830;0,720;0,550
8;19;24;44;57;80;0,850;0,980;0,900;0,530;0,910
9;15;23;37;62;78;0,630;0,790;0,960;0,640;0,740
10;16;32;44;62;75;0,820;0,580;0,960;0,980;0,910
11;16;33;46;56;74;0,530;0,650;0,860;0,760;0,670
12;16;31;38;64;74;0,970;0,590;0,790;0,960;0,560
13;5;27;44;59;72;0,750;0,670;0,540;0,880;0,580
14;5;25;47;55;70;0,610;0,560;0,690;0,520;0,900
15;2;33;34;63;75;0,550;0,820;0,860;0,520;0,650
16;9;25;46;55;69;0,870;0,870;0,830;0,780;0,710
17;20;30;35;62;76;0,580;0,600;0,860;0,640;0,750
18;18;27;37;63;77;0,550;0,820;0,550;0,640;0,720
19;17;25;34;56;79;0,840;0,940;0,850;0,680;0,830
20;14;27;44;61;76;0,980;0,980;0,580;0,660;0,700
21;6;23;39;53;71;0,610;0,700;0,780;0,650;0,800
22;15;28;46;56;69;0,970;0,810;0,740;0,720;0,510
23;17;23;46;62;68;0,850;0,800;0,820;0,940;0,700
24;13;21;39;61;71;0,590;0,620;0,870;0,620;0,750
25;17;29;36;57;67;0,870;0,570;0,720;0,920;0,960
26;2;31;35;59;77;0,570;0,510;0,570;0,740;0,860
27;11;21;34;62;73;0,900;0,840;0,690;0,770;0,700
28;7;31;44;52;67;0,840;0,710;0,720;0,850;0,660
29;7;28;43;57;68;0,810;0,650;0,740;0,570;0,830
30;3;29;50;56;69;0,640;0,580;0,730;0,570;0,880
31;11;23;38;63;75;0,510;0,510;0,880;0,750;0,640
32;20;24;48;53;80;0,930;0,960;0,900;0,790;0,520
33;10;22;48;55;75;0,960;0,670;0,840;0,880;0,560
34;20;23;41;62;67;0,590;0,930;0,920;0,720;0,570
35;7;30;35;57;67;0,540;0,650;0,820;0,920;0,660
36;20;33;36;55;75;0,630;0,780;0,880;0,630;0,650
37;4;21;44;63;74;0,600;0,670;0,590;0,550;0,850
38;20;27;45;52;72;0,750;0,700;0,510;0,740;0,770
39;3;31;34;56;79;0,700;0,660;0,670;0,570;0,710
40;6;21;44;54;78;0,900;0,760;0,750;0,630;0,750
41;11;26;40;53;77;0,870;0,700;0,590;0,950;0,760
42;7;22;35;63;76;0,770;0,650;0,760;0,810;0,830
43;19;31;49;51;73;0,830;0,910;0,830;0,660;0,760
44;8;32;44;51;70;0,610;0,900;0,680;0,600;0,600
45;1;28;42;64;80;0,540;0,510;0,580;0,980;0,880
46;13;28;44;60;67;0,760;0,770;0,530;0,580;0,680
47;16;28;38;60;76;0,720;0,780;0,520;0,820;0,660
48;12;23;37;62;76;0,740;0,610;0,980;0,540;0,790
49;14;30;37;65;78;0,960;0,830;0,970;0,850;0,960
50;18;30;44;52;71;0,720;0,860;0,710;0,830;0,600
51;20;27;38;61;69;0,530;0,610;0,740;0,800;0,810
52;19;24;41;57;76;0,660;0,600;0,930;0,690;0,620
53;3;29;48;62;72;0,520;0,560;0,640;0,580;0,740
54;18;32;34;64;76;0,610;0,880;0,910;0,710;0,760
55;4;28;34;55;74;0,540;0,630;0,900;0,950;0,540
56;9;31;45;54;77;0,530;0,650;0,870;0,530;0,930
57;3;21;35;59;71;0,710;0,620;0,780;0,510;0,980
58;14;27;48;63;79;0,880;0,800;0,970;0,960;0,920
59;11;23;39;52;80;0,660;0,840;0,730;0,640;0,550
60;7;24;49;61;67;0,540;0,890;0,650;0,830;0,920
61;8;33;41;51;78;0,650;0,600;0,970;0,620;0,600
62;13;31;50;63;67;0,930;0,870;0,790;0,960;0,530
63;18;22;38;52;75;0,680;0,690;0,830;0,770;0,700
64;2;21;44;51;79;0,920;0,900;0,620;0,860;0,980
65;13;32;38;62;69;0,710;0,810;0,770;0,950;0,570
66;15;32;45;63;76;0,510;0,860;0,640;0,920;0,750
67;11;30;48;64;68;0,710;0,880;0,930;0,640;0,780
68;4;26;40;66;72;0,800;0,550;0,940;0,950;0,580
69;19;29;34;56;68;0,760;0,520;0,800;0,870;0,890
70;9;31;42;66;78;0,650;0,900;0,650;0,920;0,520
71;15;24;42;52;74;0,570;0,940;0,850;0,610;0,550
72;19;23;42;58;68;0,820;0,890;0,940;0,810;0,660
73;3;28;42;60;80;0,570;0,530;0,760;0,640;0,680
74;16;29;48;56;68;0,650;0,740;0,830;0,520;0,600
75;1;25;49;58;79;0,600;0,530;0,830;0,840;0,570
76;12;32;43;64;70;0,920;0,850;0,720;0,970;0,570
77;20;28;43;58;77;0,850;0,620;0,900;0,720;0,600
78;2;27;37;55;70;0,570;0,600;0,910;0,700;0,890
79;18;26;40;55;69;0,800;0,710;0,890;0,800;0,970
80;7;30;42;60;76;0,810;0,970;0,860;0,970;0,810
81;1;31;42;55;75;0,940;0,720;0,910;0,840;0,770
82;18;32;39;62;76;0,630;0,680;0,540;0,910;0,820
83;8;25;48;53;69;0,570;0,940;0,820;0,770;0,810
84;11;22;38;64;72;0,870;0,870;0,790;0,940;0,720
85;15;22;42;53;71;0,950;0,610;0,860;0,590;0,820
86;15;28;42;52;75;0,940;0,720;0,560;0,860;0,970
87;12;23;36;65;74;0,780;0,600;0,770;0,800;0,860
88;6;25;46;57;76;0,910;0,510;0,650;0,900;0,530
89;16;29;41;51;76;0,540;0,580;0,590;0,650;0,580
90;5;24;49;59;67;0,760;0,810;0,710;0,760;0,880
91;7;25;43;64;67;0,760;0,870;0,780;0,600;0,920
92;11;22;44;57;80;0,890;0,940;0,630;0,790;0,530
93;9;24;37;66;75;0,860;0,550;0,770;0,640;0,620
94;2;32;44;64;68;0,870;0,700;0,610;0,910;0,580
95;2;26;38;63;76;0,710;0,960;0,820;0,600;0,780
96;3;25;35;56;67;0,520;0,700;0,600;0,780;0,840
97;6;27;38;54;68;0,600;0,610;0,910;0,910;0,940
98;18;30;35;55;75;0,980;0,970;0,540;0,870;0,840
99;8;22;42;51;76;0,950;0,910;0,860;0,790;0,620
100;5;32;44;54;70;0,780;0,980;0,580;0,570;0,650
101;13;28;37;66;75;0,860;0,780;0,710;0,580;0,570
102;9;23;34;58;70;0,910;0,510;0,940;0,510;0,850
103;9;21;37;52;80;0,920;0,640;0,630;0,780;0,690
104;2;31;36;54;67;0,980;0,830;0,940;0,940;0,650
105;20;31;44;65;72;0,610;0,840;0,510;0,860;0,680
106;6;27;48;53;68;0,820;0,730;0,640;0,630;0,510
107;2;32;34;59;78;0,540;0,750;0,730;0,570;0,580
108;7;31;49;66;71;0,620;0,680;0,580;0,690;0,660
109;1;24;47;62;75;0,540;0,730;0,830;0,870;0,840
110;6;25;45;61;71;0,740;0,790;0,590;0,880;0,630
111;20;22;49;58;80;0,550;0,840;0,670;0,590;0,520
112;6;22;34;62;67;0,660;0,750;0,950;0,880;0,910
113;11;31;37;52;67;0,590;0,640;0,950;0,870;0,810
114;12;29;40;60;77;0,820;0,940;0,930;0,920;0,610
115;17;21;36;65;73;0,810;0,830;0,570;0,700;0,750
116;8;25;35;63;77;0,550;0,970;0,850;0,900;0,660
117;16;28;50;57;71;0,600;0,950;0,950;0,600;0,530
118;5;21;45;57;77;0,770;0,740;0,970;0,810;0,820
119;3;25;43;57;75;0,590;0,800;0,850;0,730;0,570
120;6;25;43;59;74;0,950;0,790;0,910;0,970;0,830
121;18;33;46;56;70;0,770;0,870;0,790;0,730;0,520
122;10;25;49;61;67;0,610;0,550;0,690;0,620;0,560
123;19;26;50;57;79;0,940;0,830;0,530;0,630;0,800
124;5;24;36;52;80;0,600;0,970;0,510;0,690;0,660
125;20;25;35;61;77;0,800;0,550;0,970;0,830;0,820
126;12;25;44;61;76;0,650;0,940;0,660;0,610;0,710
127;3;26;39;62;73;0,580;0,640;0,750;0,600;0,730
128;10;26;49;56;74;0,970;0,910;0,880;0,670;0,640
129;1;33;46;60;76;0,650;0,590;0,890;0,710;0,920
130;6;28;36;65;70;0,640;0,670;0,810;0,830;0,600
131;12;27;43;64;67;0,860;0,980;0,700;0,570;0,930
132;4;32;44;59;73;0,870;0,580;0,980;0,760;0,530
133;12;28;37;51;69;0,690;0,600;0,720;0,620;0,770
134;2;23;36;55;69;0,730;0,740;0,800;0,540;0,920
135;14;33;50;62;77;0,520;0,760;0,640;0,980;0,610
136;8;26;34;63;72;0,620;0,710;0,910;0,770;0,690
137;19;22;49;65;73;0,860;0,860;0,980;0,790;0,590
138;17;23;49;53;72;0,650;0,600;0,700;0,550;0,760
139;18;25;35;53;73;0,910;0,680;0,900;0,940;0,720
140;17;27;34;62;79;0,900;0,750;0,830;0,820;0,620
141;17;23;46;56;79;0,760;0,810;0,680;0,750;0,590
142;6;28;46;52;68;0,510;0,800;0,960;0,630;0,570
143;20;33;40;52;72;0,570;0,650;0,880;0,900;0,680
144;4;33;50;63;79;0,540;0,780;0,670;0,550;0,640
145;12;21;46;61;72;0,970;0,710;0,550;0,900;0,580
146;6;32;49;65;73;0,640;0,980;0,580;0,720;0,680
147;16;31;44;59;69;0,720;0,750;0,970;0,900;0,820
148;5;33;49;65;75;0,840;0,660;0,520;0,530;0,840
149;6;31;42;57;76;0,530;0,940;0,520;0,850;0,530
150;3;32;46;57;73;0,960;0,760;0,680;0,800;0,760
151;2;29;40;51;79;0,530;0,820;0,970;0,720;0,800
152;11;33;43;60;72;0,530;0,580;0,740;0,790;0,570
153;12;27;40;63;68;0,630;0,840;0,520;0,560;0,700
154;3;28;41;63;68;0,750;0,600;0,540;0,680;0,710
155;13;21;37;57;73;0,510;0,930;0,530;0,870;0,670
156;4;22;48;53;70;0,840;0,690;0,850;0,940;0,880
157;10;29;41;65;77;0,900;0,880;0,740;0,570;0,790
158;12;26;41;54;72;0,640;0,780;0,960;0,710;0,970
159;15;29;42;56;80;0,770;0,620;0,740;0,770;0,810
160;19;22;49;58;69;0,580;0,530;0,690;0,620;0,610
161;1;23;46;58;72;0,590;0,800;0,770;0,700;0,660
162;2;30;46;52;73;0,870;0,940;0,840;0,650;0,830
163;6;33;50;59;75;0,970;0,680;0,970;0,900;0,880
164;18;28;48;59;79;0,780;0,630;0,580;0,560;0,580
165;9;31;46;60;71;0,960;0,920;0,810;0,760;0,920
166;3;31;46;60;74;0,930;0,810;0,730;0,670;0,740
167;1;33;44;65;79;0,690;0,730;0,880;0,650;0,620
168;8;26;34;54;67;0,670;0,940;0,750;0,760;0,690
169;15;24;39;55;79;0,840;0,550;0,960;0,780;0,840
170;10;31;43;57;77;0,720;0,980;0,510;0,780;0,860
171;3;25;36;65;70;0,590;0,830;0,950;0,810;0,730
172;1;21;39;62;73;0,620;0,840;0,850;0,650;0,660
173;1;22;42;62;71;0,620;0,820;0,890;0,810;0,700
174;8;25;42;54;76;0,550;0,830;0,770;0,840;0,890
175;4;32;47;59;70;0,740;0,970;0,690;0,710;0,870
176;6;24;48;53;73;0,610;0,910;0,510;0,630;0,800
177;18;28;42;65;78;0,740;0,840;0,770;0,740;0,620
178;8;25;49;60;67;0,970;0,680;0,730;0,760;0,860
179;2;28;42;64;73;0,920;0,570;0,780;0,600;0,660
180;3;32;34;56;80;0,530;0,890;0,620;0,800;0,530
181;8;29;46;56;77;0,720;0,970;0,640;0,580;0,950
182;15;29;36;64;78;0,560;0,980;0,970;0,750;0,600
183;2;33;49;53;75;0,840;0,770;0,740;0,740;0,800
184;13;27;40;62;75;0,910;0,720;0,710;0,980;0,880
185;5;29;36;61;67;0,850;0,820;0,820;0,680;0,670
186;13;24;42;52;73;0,980;0,910;0,710;0,540;0,820
187;15;24;41;52;67;0,800;0,910;0,910;0,600;0,570
188;4;27;41;58;73;0,830;0,600;0,680;0,890;0,760
189;9;30;36;59;79;0,800;0,910;0,930;0,510;0,730
190;3;23;38;53;75;0,890;0,770;0,600;0,780;0,620
191;7;29;47;58;74;0,910;0,730;0,780;0,660;0,660
192;14;30;49;64;73;0,720;0,720;0,740;0,620;0,760
193;10;22;39;64;72;0,590;0,560;0,940;0,720;0,710
194;20;33;45;64;75;0,590;0,870;0,590;0,630;0,830
195;19;21;47;55;79;0,530;0,870;0,810;0,910;0,560
196;20;29;43;53;75;0,590;0,770;0,830;0,520;0,860
197;9;30;41;60;71;0,930;0,930;0,510;0,890;0,760
198;15;24;42;61;71;0,830;0,860;0,800;0,900;0,920
199;5;29;49;62;77;0,800;0,630;0,680;0,730;0,850
200;6;30;46;61;71;0,920;0,660;0,920;0,660;0,530
201;8;30;38;62;72;0,570;0,530;0,810;0,760;0,610
202;11;25;36;61;77;0,810;0,890;0,930;0,800;0,960
203;18;24;36;62;78;0,960;0,940;0,510;0,810;0,740
204;18;26;40;65;75;0,750;0,510;0,610;0,580;0,770
